Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-4006.074	-4264.087	258.0132	1.915642	1.988214	0.4567157	0.726004	0.273996	1.327541
6	-4001.155	-4259.467	258.3119	1.937233	1.65657	0.4567157	0.726004	0.273996	1.236869
12	-3992.587	-4250.864	258.2766	1.907598	1.418232	0.4129792	0.662109	0.337891	1.487331
18	-3987.116	-4245.635	258.5191	1.898023	1.418232	0.4129792	0.721449	0.278551	1.30575
24	-3994.117	-4252.477	258.3591	1.902637	1.736298	0.3734453	0.700064	0.299936	1.311711
30	-3991.565	-4249.81	258.2456	1.997915	1.373942	0.5797466	0.711119	0.288881	1.247737
36	-3998.599	-4256.865	258.266	1.947902	1.334011	0.5797466	0.672411	0.327589	1.298235
42	-3997.868	-4255.897	258.0291	1.971404	1.685159	0.5359103	0.814868	0.185132	1.317027
48	-3969.562	-4227.925	258.3633	1.942898	1.495036	0.4243998	0.771287	0.228713	1.331458
54	-3976.674	-4235.078	258.4037	1.933971	1.531804	0.4349751	0.792842	0.207158	1.2683
60	-3995.838	-4254.063	258.2257	1.860194	1.293654	0.4470622	0.767648	0.232352	1.587092
66	-3990.334	-4248.405	258.0709	1.844252	1.293654	0.4738752	0.705912	0.294088	1.676339
72	-3996.17	-4254.627	258.4569	2.130868	1.405264	0.5263569	0.732848	0.267152	0.9876359
78	-3992.505	-4251.03	258.5249	2.072848	1.241403	0.5263569	0.635037	0.364963	1.105242
84	-3990.941	-4249.532	258.5909	2.026322	1.241403	0.4144035	0.770109	0.229891	1.25638
90	-3991.714	-4250.212	258.4974	2.073198	1.241403	0.5150693	0.770109	0.229891	1.145955
96	-4001.026	-4259.305	258.2782	2.064975	1.357539	0.5475031	0.597959	0.402041	1.215953
102	-4008.25	-4266.276	258.026	1.896371	1.677779	0.4794693	0.513792	0.486208	1.454334
108	-4008.393	-4266.31	257.9168	1.907449	1.585567	0.4415532	0.513792	0.486208	1.623271
114	-3995.856	-4254.223	258.3675	1.982236	1.231371	0.4585727	0.818981	0.181019	1.413011
120	-3992	-4250.523	258.5227	2.000422	1.278815	0.4585727	0.785578	0.214422	1.241703
126	-3990.878	-4249.348	258.4699	1.92499	1.278815	0.5115162	0.775073	0.224927	1.27394
132	-3975.612	-4234.237	258.6248	1.965525	1.205988	0.4620439	0.70348	0.29652	1.232075
138	-3984.763	-4243.13	258.3672	1.935519	1.601204	0.4464723	0.70348	0.29652	1.239155
144	-3978.263	-4236.666	258.4034	1.906718	1.601204	0.4423151	0.715276	0.284724	1.239155
150	-3980.124	-4238.76	258.6361	2.051186	1.199822	0.4423151	0.715276	0.284724	1.183773
156	-3982.7	-4241.139	258.4392	2.029437	1.445769	0.4569271	0.715276	0.284724	1.178037
162	-3995.992	-4253.689	257.6965	1.806842	1.977804	0.507303	0.711871	0.288129	1.590912
168	-4006.476	-4264.586	258.1099	1.845897	1.394841	0.4521353	0.698517	0.301483	1.616328
174	-3969.916	-4228.492	258.5763	2.187355	1.457056	0.4032982	0.653752	0.346248	0.9870017
180	-3999.457	-4257.085	257.6275	1.700387	1.868707	0.5039527	0.749905	0.250095	1.766828
186	-3988.44	-4246.241	257.8007	1.760228	1.868707	0.3782049	0.680893	0.319107	1.763029
192	-3985.973	-4244.239	258.2661	2.176439	1.704975	0.4875921	0.66117	0.33883	0.9818269
198	-3993.094	-4251.461	258.3668	2.121706	1.704975	0.4245325	0.553096	0.446904	1.046227
204	-3987.841	-4246.142	258.3005	2.168724	1.704975	0.4250709	0.553096	0.446904	1.063655
210	-3990.876	-4249.177	258.3008	2.196417	1.86129	0.4437776	0.72137	0.27863	0.8975195
216	-3990.681	-4249.322	258.6411	2.239315	1.239918	0.5109418	0.707682	0.292318	0.8393309
222	-3982.137	-4240.774	258.6375	2.148989	1.239918	0.5109418	0.713323	0.286677	0.9462438
228	-3984.187	-4242.825	258.6383	2.118013	1.239918	0.5109418	0.718672	0.281328	0.977616
234	-3991.385	-4249.94	258.5556	2.08722	1.52832	0.4331527	0.782605	0.217395	0.9996042
240	-3989.797	-4248.081	258.2835	2.125678	1.599221	0.5049627	0.716216	0.283784	1.056975
246	-3988.683	-4247.024	258.3418	2.085581	1.599221	0.4696429	0.703812	0.296188	1.095589
252	-3980.894	-4239.169	258.275	1.996298	1.599221	0.4405424	0.711157	0.288843	1.275173
258	-3986.588	-4245.006	258.4178	1.98365	1.738183	0.3571618	0.782757	0.217243	1.222825
264	-3988.754	-4247.043	258.289	1.982601	1.738183	0.4513333	0.705219	0.294781	1.179347
270	-3981.308	-4239.544	258.2358	1.947129	1.317021	0.5626096	0.737324	0.262676	1.354833
276	-3996.598	-4254.801	258.2033	1.967104	1.317021	0.6012657	0.720884	0.279116	1.318945
282	-3971.88	-4230.235	258.3545	2.083206	1.59598	0.510158	0.721096	0.278904	1.023544
288	-3982.9	-4241.058	258.1575	2.095592	1.777988	0.510158	0.710393	0.289607	1.083126
294	-3989.355	-4247.74	258.3846	2.095592	1.496929	0.510158	0.684843	0.315157	1.051147
300	-3981.501	-4239.822	258.3209	2.095313	1.496929	0.5068921	0.69004	0.30996	1.115543
306	-3972.886	-4231.036	258.1496	2.053827	1.586901	0.5123172	0.731825	0.268175	1.236719
312	-3966.143	-4224.588	258.445	2.046888	1.538216	0.42919	0.632228	0.367772	1.141503
318	-3969.564	-4228.058	258.4936	2.065169	1.538216	0.42919	0.669557	0.330443	1.08069
324	-3989.878	-4248.347	258.4689	2.001852	1.392256	0.4896104	0.72405	0.27595	1.162919
330	-3983.946	-4242.477	258.5311	2.03517	1.128951	0.5406222	0.72405	0.27595	1.200518
336	-3999.485	-4257.756	258.2711	2.191728	1.486871	0.5932068	0.659445	0.340555	0.9474737
342	-3993.522	-4251.995	258.4739	2.203328	1.450212	0.5049536	0.687159	0.312841	0.8924461
348	-3984.001	-4242.603	258.6019	2.192177	1.450212	0.4402088	0.687159	0.312841	0.886217
354	-3996.036	-4254.525	258.4889	2.098807	1.73726	0.3958705	0.689799	0.310201	0.9809284
360	-3988.815	-4247.239	258.4244	2.104571	1.73726	0.4534961	0.680321	0.319679	0.9305744
366	-3989.741	-4248.179	258.4381	2.032656	1.550402	0.4534961	0.737774	0.262226	1.113208
372	-3989.551	-4248.025	258.474	2.025698	1.483283	0.4534961	0.697765	0.302235	1.131174
378	-4003.642	-4262.01	258.3681	1.960734	1.501735	0.5597842	0.697765	0.302235	1.115703
384	-4009.371	-4267.577	258.2061	1.941996	1.397215	0.5597842	0.705823	0.294177	1.33534
390	-4013.059	-4271.233	258.1737	1.939829	1.909493	0.4903397	0.775587	0.224413	1.164213
396	-3995.621	-4254.025	258.4037	1.938883	1.428442	0.4903397	0.606259	0.393741	1.247614
402	-3994.28	-4252.463	258.1826	1.85944	1.266934	0.4903397	0.606259	0.393741	1.580626
408	-3986.388	-4244.693	258.3049	1.899501	1.290064	0.4428344	0.826502	0.173498	1.50733
414	-3988.87	-4246.166	257.2956	1.616042	1.689691	0.4554559	0.789284	0.210716	2.178595
420	-3996.381	-4254.53	258.1495	1.912567	1.427574	0.5263759	0.72665	0.27335	1.425362
426	-3987.995	-4246.14	258.1443	1.920655	1.427574	0.542396	0.789361	0.210639	1.403588
432	-4005.626	-4263.874	258.2473	2.031776	1.39002	0.5869367	0.705226	0.294774	1.197933
438	-3999.709	-4258.045	258.3359	2.059002	1.39002	0.5013968	0.722799	0.277201	1.213027
444	-4002.861	-4261.437	258.5756	2.03514	1.226694	0.518141	0.686097	0.313903	1.116741
450	-3995.932	-4251.231	255.2987	1.511164	1.787893	0.8595032	0.637536	0.362464	3.092078
456	-3997.773	-4254.704	256.931	1.520113	1.367692	0.4095403	0.637536	0.362464	2.669111
462	-3994.652	-4253.106	258.4531	2.03969	1.349367	0.4943544	0.649836	0.350164	1.166253
468	-4010.15	-4268.67	258.5198	2.046584	1.129058	0.5311607	0.697996	0.302004	1.213014
474	-3993.865	-4252.203	258.3379	2.036796	1.308119	0.5285533	0.697996	0.302004	1.24796
480	-3970.247	-4228.306	258.0587	1.958969	1.422087	0.5285533	0.716476	0.283524	1.459892
486	-3984.639	-4243.011	258.3715	2.017654	1.325733	0.4821827	0.716476	0.283524	1.287093
492	-3987.812	-4246.115	258.303	1.972616	1.29295	0.5699732	0.747594	0.252406	1.287093
498	-3979.058	-4237.433	258.3749	2.026358	1.266139	0.4920906	0.686041	0.313959	1.303546
504	-3994.463	-4251.96	257.4977	1.699566	1.450243	0.410557	0.733783	0.266217	2.156725
510	-3991.627	-4248.886	257.2591	1.636411	1.937775	0.4587703	0.725493	0.274507	2.082533
516	-3976.856	-4234.254	257.3973	1.614287	1.937775	0.3674092	0.63261	0.36739	2.119653
522	-3980.237	-4237.784	257.5471	1.63223	1.286769	0.5189243	0.63261	0.36739	2.129209
528	-3984.587	-4242.444	257.8567	1.606189	1.286769	0.4593454	0.761159	0.238841	2.008287
534	-3996.094	-4254.342	258.2482	1.887081	1.34969	0.519558	0.770603	0.229397	1.424155
540	-4003.873	-4262.294	258.4212	1.917882	1.415643	0.473855	0.77342	0.22658	1.28178
546	-3986.711	-4244.683	257.9715	1.956432	1.832748	0.4572511	0.611621	0.388379	1.402136
552	-3975.892	-4233.826	257.9338	1.847258	1.832748	0.4241304	0.685489	0.314511	1.558244
558	-3988.378	-4246.236	257.8585	1.937943	1.832748	0.4241304	0.705824	0.294176	1.546872
564	-3985.25	-4243.477	258.2268	1.814877	1.266636	0.4818826	0.702683	0.297317	1.5915
570	-3989.912	-4248.126	258.2142	1.750262	1.224137	0.4940698	0.650326	0.349674	1.658447
576	-4001.705	-4259.798	258.093	1.733745	1.563996	0.4628022	0.725119	0.274881	1.60521
582	-3988.499	-4246.507	258.0082	1.836845	1.729949	0.3863354	0.725119	0.274881	1.612489
588	-3982.85	-4240.814	257.9637	1.925698	1.824671	0.4738702	0.654936	0.345064	1.41353
